Ord,Date,Time,Flow,Hydro
508,12/20/1964,6:45,8040,Dec-1964
509,12/20/1964,7:00,8031,Dec-1964
510,12/20/1964,7:15,8022,Dec-1964
511,12/20/1964,7:30,8013,Dec-1964
512,12/20/1964,7:45,8005,Dec-1964
513,12/20/1964,8:00,7996,Dec-1964
514,12/20/1964,8:15,7987,Dec-1964
515,12/20/1964,8:30,7978,Dec-1964
516,12/20/1964,8:45,7970,Dec-1964
517,12/20/1964,9:00,7961,Dec-1964
518,12/20/1964,9:15,7952,Dec-1964
519,12/20/1964,9:30,7943,Dec-1964
520,12/20/1964,9:45,7935,Dec-1964
521,12/20/1964,10:00,7926,Dec-1964
522,12/20/1964,10:15,7917,Dec-1964
523,12/20/1964,10:30,7909,Dec-1964
524,12/20/1964,10:45,7900,Dec-1964
525,12/20/1964,11:00,7891,Dec-1964
526,12/20/1964,11:15,7883,Dec-1964
527,12/20/1964,11:30,7874,Dec-1964
528,12/20/1964,11:45,7865,Dec-1964
529,12/20/1964,12:00,7857,Dec-1964
530,12/20/1964,12:15,7848,Dec-1964
531,12/20/1964,12:30,7840,Dec-1964
532,12/20/1964,12:45,7831,Dec-1964
533,12/20/1964,13:00,7822,Dec-1964
534,12/20/1964,13:15,7814,Dec-1964
535,12/20/1964,13:30,7805,Dec-1964
536,12/20/1964,13:45,7797,Dec-1964
537,12/20/1964,14:00,7788,Dec-1964
538,12/20/1964,14:15,7780,Dec-1964
539,12/20/1964,14:30,7771,Dec-1964
540,12/20/1964,14:45,7762,Dec-1964
541,12/20/1964,15:00,7754,Dec-1964
542,12/20/1964,15:15,7745,Dec-1964
543,12/20/1964,15:30,7737,Dec-1964
544,12/20/1964,15:45,7728,Dec-1964
545,12/20/1964,16:00,7720,Dec-1964
546,12/20/1964,16:15,7712,Dec-1964
547,12/20/1964,16:30,7703,Dec-1964
548,12/20/1964,16:45,7695,Dec-1964
549,12/20/1964,17:00,7686,Dec-1964
550,12/20/1964,17:15,7678,Dec-1964
551,12/20/1964,17:30,7669,Dec-1964
552,12/20/1964,17:45,7661,Dec-1964
553,12/20/1964,18:00,7652,Dec-1964
554,12/20/1964,18:15,7644,Dec-1964
555,12/20/1964,18:30,7636,Dec-1964
556,12/20/1964,18:45,7627,Dec-1964
557,12/20/1964,19:00,7619,Dec-1964
558,12/20/1964,19:15,7611,Dec-1964
559,12/20/1964,19:30,7602,Dec-1964
560,12/20/1964,19:45,7594,Dec-1964
561,12/20/1964,20:00,7586,Dec-1964
562,12/20/1964,20:15,7577,Dec-1964
563,12/20/1964,20:30,7569,Dec-1964
564,12/20/1964,20:45,7561,Dec-1964
565,12/20/1964,21:00,7552,Dec-1964
566,12/20/1964,21:15,7544,Dec-1964
567,12/20/1964,21:30,7536,Dec-1964
568,12/20/1964,21:45,7528,Dec-1964
569,12/20/1964,22:00,7519,Dec-1964
570,12/20/1964,22:15,7511,Dec-1964
571,12/20/1964,22:30,7503,Dec-1964
572,12/20/1964,22:45,7495,Dec-1964
573,12/20/1964,23:00,7486,Dec-1964
574,12/20/1964,23:15,7478,Dec-1964
575,12/20/1964,23:30,7470,Dec-1964
576,12/20/1964,23:45,7462,Dec-1964
577,12/21/1964,0:00,7454,Dec-1964
578,12/21/1964,0:15,7445,Dec-1964
579,12/21/1964,0:30,7437,Dec-1964
580,12/21/1964,0:45,7429,Dec-1964
581,12/21/1964,1:00,7421,Dec-1964
582,12/21/1964,1:15,7413,Dec-1964
583,12/21/1964,1:30,7405,Dec-1964
584,12/21/1964,1:45,7397,Dec-1964
585,12/21/1964,2:00,7388,Dec-1964
586,12/21/1964,2:15,7380,Dec-1964
587,12/21/1964,2:30,7372,Dec-1964
588,12/21/1964,2:45,7364,Dec-1964
589,12/21/1964,3:00,7356,Dec-1964
590,12/21/1964,3:15,7348,Dec-1964
591,12/21/1964,3:30,7340,Dec-1964
592,12/21/1964,3:45,7332,Dec-1964
593,12/21/1964,4:00,7324,Dec-1964
594,12/21/1964,4:15,7316,Dec-1964
595,12/21/1964,4:30,7308,Dec-1964
596,12/21/1964,4:45,7300,Dec-1964
597,12/21/1964,5:00,7292,Dec-1964
