Date,Elev_NGVD29,Project,
7/6/1971,1642.4,Cougar,1646.78
7/7/1971,1642.9,Cougar,1647.28
7/8/1971,1643.4,Cougar,1647.78
7/9/1971,1644,Cougar,1648.38
7/10/1971,1644.4,Cougar,1648.78
7/11/1971,1644.8,Cougar,1649.18
7/12/1971,1645.1,Cougar,1649.48
7/13/1971,1645.3,Cougar,1649.68
7/14/1971,1645.6,Cougar,1649.98
7/15/1971,1645.7,Cougar,1650.08
7/16/1971,1646,Cougar,1650.38
7/17/1971,1646.2,Cougar,1650.58
7/18/1971,1646.4,Cougar,1650.78
7/19/1971,1646.7,Cougar,1651.08
7/20/1971,1646.8,Cougar,1651.18
7/21/1971,1646.9,Cougar,1651.28
7/22/1971,1647,Cougar,1651.38
7/23/1971,1647.1,Cougar,1651.48
7/24/1971,1647.1,Cougar,1651.48
7/25/1971,1647.3,Cougar,1651.68
7/26/1971,1647.3,Cougar,1651.68
7/27/1971,1647.4,Cougar,1651.78
7/28/1971,1647.4,Cougar,1651.78
7/29/1971,1647.5,Cougar,1651.88
7/30/1971,1647.5,Cougar,1651.88
7/31/1971,1647.5,Cougar,1651.88
8/1/1971,1647.6,Cougar,1651.98
8/2/1971,1647.7,Cougar,1652.08
8/3/1971,1647.8,Cougar,1652.18
8/4/1971,1647.7,Cougar,1652.08
8/5/1971,1647.7,Cougar,1652.08
8/6/1971,1647.7,Cougar,1652.08
8/7/1971,1647.8,Cougar,1652.18
8/8/1971,1647.7,Cougar,1652.08
8/9/1971,1647.7,Cougar,1652.08
8/10/1971,1647.7,Cougar,1652.08
8/11/1971,1647.7,Cougar,1652.08
8/12/1971,1647.6,Cougar,1651.98
8/13/1971,1647.3,Cougar,1651.68
8/14/1971,1647.2,Cougar,1651.58
8/15/1971,1647.1,Cougar,1651.48
8/16/1971,1646.8,Cougar,1651.18
8/17/1971,1646.7,Cougar,1651.08
8/18/1971,1646.5,Cougar,1650.88
8/19/1971,1646.4,Cougar,1650.78
8/20/1971,1646.2,Cougar,1650.58
8/21/1971,1646,Cougar,1650.38
8/22/1971,1645.9,Cougar,1650.28
8/23/1971,1645.8,Cougar,1650.18
