AEP,0b ,1a ,1b ,1c ,1d ,2a ,2b ,2c ,2d ,3a ,3b,3c ,3d,3e,3f,3g,3h,3i,3j,4a ,4b ,4c ,4d ,5a ,5b ,5c ,6a ,6b 
1.00E-08,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
9.04E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
8.04E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
7.03E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
6.03E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
5.02E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
4.02E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
3.02E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
2.01E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
1.01E-09,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40,1718.40
